scenario,seed,total_income,total_expenses,total_losses,net_profit,delinquency_rate,active_clients_final,num_clients_initial,simulation_type,month,year,month_of_year,commission_income,interest_income,expenses,losses,active_clients,delinquent_clients,interes_generado_total,pagos_interes_total,saldo_principal_total
neutral,54,7677.870976716419,,,7177.870976716419,,,,monthly,11.0,1.0,11.0,2325.440835192274,5352.430141524145,500.0,0.0,97.0,3.0,5575.501205581156,5352.430141524145,148680.03214883083
neutral,54,7828.189267934442,,,-1642.5411182530188,,,,monthly,12.0,1.0,12.0,2455.5753756473073,5372.613892287135,500.0,8970.73038618746,97.0,3.0,5647.600580087357,5372.613892287134,150602.68213566285
neutral,55,56300.53457049454,72000.0,16176.743700396437,-31876.209129901894,0.04,96.0,100.0,summary,,,,,,,,,,,,
neutral,55,2476.55494048281,,,1976.5549404828098,,,,monthly,1.0,1.0,1.0,2476.55494048281,0.0,500.0,0.0,100.0,0.0,1164.1094868634482,0.0,31042.919649691954
neutral,55,3547.7917933161725,,,3047.7917933161725,,,,monthly,2.0,1.0,2.0,2383.6823064527243,1164.109486863448,500.0,0.0,100.0,0.0,1921.2512353636484,1164.1094868634482,51233.36627636396
neutral,55,4272.983568451623,,,3772.983568451623,,,,monthly,3.0,1.0,3.0,2351.7323330879744,1921.2512353636487,500.0,0.0,100.0,0.0,1902.239834686522,1921.2512353636484,50726.39559164059
neutral,55,4510.020074200014,,,1010.0200742000143,,,,monthly,4.0,1.0,4.0,2607.7802395134922,1902.239834686522,500.0,3000.0,100.0,0.0,2617.50781681721,1902.239834686522,69800.20844845893
neutral,55,5181.641179841639,,,4681.641179841639,,,,monthly,5.0,1.0,5.0,2564.133363024429,2617.50781681721,500.0,0.0,99.0,1.0,3037.1420984045694,2617.50781681721,80990.45595745518
neutral,55,5382.042951416916,,,-5294.7007489795205,,,,monthly,6.0,1.0,6.0,2499.870705233129,2882.1722461837876,500.0,10176.743700396437,99.0,1.0,3052.2649871282215,2882.1722461837876,81393.7329900859
neutral,55,5666.876497381325,,,5166.876497381325,,,,monthly,7.0,1.0,7.0,2614.611510253103,3052.2649871282215,500.0,0.0,97.0,3.0,2315.643356039936,3052.2649871282215,61750.48949439829
neutral,55,4755.494920718338,,,1255.494920718338,,,,monthly,8.0,1.0,8.0,2439.851564678403,2315.6433560399355,500.0,3000.0,97.0,3.0,2502.8744904227947,2315.643356039936,66743.31974460787
neutral,55,4875.526386791964,,,4375.526386791964,,,,monthly,9.0,1.0,9.0,2372.6518963691697,2502.874490422794,500.0,0.0,96.0,4.0,2706.0343264551334,2502.8744904227947,72160.9153721369
neutral,55,5082.974339002848,,,4582.974339002848,,,,monthly,10.0,1.0,10.0,2376.9400125477146,2706.0343264551334,500.0,0.0,96.0,4.0,2869.012742455485,2706.0343264551334,76507.0064654796
neutral,55,5269.582824518187,,,4769.582824518187,,,,monthly,11.0,1.0,11.0,2400.5700820627026,2869.012742455485,500.0,0.0,96.0,4.0,2622.8973633667883,2869.012742455485,69943.92968978103
neutral,55,5279.045094372709,,,4779.045094372709,,,,monthly,12.0,1.0,12.0,2656.1477310059204,2622.897363366789,500.0,0.0,96.0,4.0,2803.9503612617555,2622.8973633667883,74772.00963364681
neutral,56,61479.9901190642,72000.0,20577.132550752955,-31097.142431688757,0.05,95.0,100.0,summary,,,,,,,,,,,,
neutral,56,2502.3944479697548,,,2002.3944479697548,,,,monthly,1.0,1.0,1.0,2502.3944479697548,0.0,500.0,0.0,100.0,0.0,1866.3662167413581,0.0,49769.76577976955
