scenario,seed,total_income,total_expenses,total_losses,net_profit,delinquency_rate,active_clients_final,num_clients_initial,simulation_type,month,year,month_of_year,commission_income,interest_income,expenses,losses,active_clients,delinquent_clients,interes_generado_total,pagos_interes_total,saldo_principal_total,saldo_interes_total
opt_neut,141,6143.379900155391,,,-451.88814496202485,,,,monthly,3.0,1.0,3.0,3546.4222221097602,2596.957678045631,333.3333333333333,6261.9347117840825,99.0,1.0,3163.4301872810547,2596.9576780456305,72306.97570928125,3163.4301872810547
opt_neut,141,7023.329540175677,,,6689.996206842344,,,,monthly,4.0,1.0,4.0,3878.7227249213583,3144.606815254319,333.3333333333333,0.0,98.0,2.0,4924.943278735773,3144.606815254319,112570.13208538908,4943.766650762508
opt_neut,141,8495.233430154858,,,8161.900096821525,,,,monthly,5.0,1.0,5.0,3599.632974681778,4895.600455473081,333.3333333333333,0.0,98.0,2.0,4576.833780065771,4895.600455473082,104613.34354436047,4624.999975355197
opt_neut,141,8189.301496569343,,,7855.96816323601,,,,monthly,6.0,1.0,6.0,3591.607992531981,4597.693504037362,333.3333333333333,0.0,98.0,2.0,4130.492333910994,4597.693504037363,94411.25334653698,4157.798805228828
opt_neut,141,8141.211841062684,,,7807.8785077293505,,,,monthly,7.0,1.0,7.0,4079.7162472087493,4061.495593853934,333.3333333333333,0.0,98.0,2.0,4797.865721793672,4061.4955938539347,109665.50221242679,4894.168933168566
opt_neut,141,8188.256103823263,,,7854.92277048993,,,,monthly,8.0,1.0,8.0,3568.031869839644,4620.224233983619,333.3333333333333,0.0,98.0,2.0,4697.658585930079,4620.224233983619,107375.05339268752,4971.603285115027
opt_neut,141,8219.683442417525,,,7886.350109084192,,,,monthly,9.0,1.0,9.0,3642.6218923543593,4577.061550063165,333.3333333333333,0.0,98.0,2.0,4968.277342214202,4577.061550063165,113560.62496489604,5362.819077266063
opt_neut,141,8642.113007617927,,,4808.779674284593,,,,monthly,10.0,1.0,10.0,3566.2851063206267,5075.8279012973,333.3333333333333,3500.0,98.0,2.0,4052.949304621389,5075.827901297299,92638.84124848888,4339.940480590153
opt_neut,141,7473.934454960519,,,7140.601121627186,,,,monthly,11.0,1.0,11.0,3662.123569542504,3811.810885418016,333.3333333333333,0.0,97.0,3.0,4526.231752995643,3811.8108854180155,103456.72578275754,5054.36134816778
opt_neut,141,8560.26794537888,,,8226.934612045547,,,,monthly,12.0,1.0,12.0,3923.387984692279,4636.8799606866005,333.3333333333333,0.0,97.0,3.0,4272.457957301764,4636.8799606866,97656.18188118316,4689.939344782944
