scenario,seed,total_income,total_expenses,total_losses,net_profit,delinquency_rate,active_clients_final,num_clients_initial,simulation_type,month,year,month_of_year,commission_income,interest_income,expenses,losses,active_clients,delinquent_clients,interes_generado_total,pagos_interes_total,saldo_principal_total,saldo_interes_total
pessimistic,157,140761.23684784965,,,55222.454767273,,,,monthly,3.0,1.0,3.0,67765.41664307527,72995.82020477438,33333.333333333336,52205.44874724331,988.0,12.0,111771.87090489278,72995.82020477443,2980583.224130474,132128.8085012446
pessimistic,157,164374.07532756496,,,96040.74199423162,,,,monthly,4.0,1.0,4.0,70726.22732923403,93647.84799833095,33333.333333333336,35000.0,981.0,19.0,128120.1397017118,93647.84799833094,3416537.058712315,166601.10020462546
pessimistic,157,179189.5645436313,,,92603.68535067051,,,,monthly,5.0,1.0,5.0,67686.61777541309,111502.94676821821,33333.333333333336,53252.54585962746,974.0,26.0,134377.7771234863,111502.94676821817,3583407.389959635,189468.345917798
pessimistic,157,178743.57857619645,,,116937.15024417557,,,,monthly,6.0,1.0,6.0,65962.74652448916,112780.83205170729,33333.333333333336,28473.094998687528,963.0,37.0,140709.90843527074,112780.83205170736,3752264.2249405533,216130.84465105983
pessimistic,157,194224.2352291769,,,44456.28953825617,,,,monthly,7.0,1.0,7.0,70300.02760378305,123924.20762539386,33333.333333333336,116434.6123575874,960.0,40.0,139883.16357813988,123924.20762539384,3730217.6954170633,225722.88903842683
pessimistic,157,203478.25865855243,,,97916.867743473,,,,monthly,8.0,1.0,8.0,63048.9501502923,140429.30850826012,33333.333333333336,72228.05758174608,950.0,50.0,136322.26521008826,140429.3085082601,3635260.4056023536,220654.76178702374
pessimistic,157,192357.90375175735,,,86957.3211059355,,,,monthly,9.0,1.0,9.0,63847.960821712644,128509.94293004471,33333.333333333336,72067.24931248851,939.0,61.0,136202.12621754198,128509.94293004468,3632056.6991344527,226787.21779460605
pessimistic,157,194631.51744435343,,,123978.89391152965,,,,monthly,10.0,1.0,10.0,62914.66174440259,131716.85569995086,33333.333333333336,37319.29019949044,934.0,66.0,136183.05736151608,131716.85569995077,3631548.196307096,230839.24024471737
pessimistic,157,194297.3503408671,,,126748.13402444513,,,,monthly,11.0,1.0,11.0,61600.84614065034,132696.50420021676,33333.333333333336,34215.882983088624,928.0,72.0,132586.27010729132,132696.50420021676,3535633.8695277683,230233.5752798754
pessimistic,157,211554.77307655264,,,156221.4397432193,,,,monthly,12.0,1.0,12.0,67896.3045453043,143658.46853124833,33333.333333333336,22000.0,923.0,77.0,134382.92095581986,143658.46853124836,3583544.558821863,220958.0277044469
pessimistic,158,2107780.5098353853,4800000.0,642387.3519765541,-3334606.842141169,0.084,916.0,1000.0,summary,,,,,,,,,,,,,
pessimistic,158,79706.91470670697,,,28373.581373373636,,,,monthly,1.0,1.0,1.0,79706.91470670697,0.0,33333.333333333336,18000.0,1000.0,0.0,60455.80952576598,0.0,1612154.920687093,60455.80952576598
pessimistic,158,123305.1547460696,,,48776.46244335612,,,,monthly,2.0,1.0,2.0,71360.64317171164,51944.511574357966,33333.333333333336,41195.35896938014,996.0,4.0,95709.32058612851,51944.51157435795,2552248.548963427,104055.38451336916
pessimistic,158,150880.2989347591,,,81187.80924085708,,,,monthly,3.0,1.0,3.0,68125.93127447118,82754.36766028794,33333.333333333336,36359.15636056868,990.0,10.0,115493.44021062438,82754.36766028793,3079825.072283317,136492.24682537708
pessimistic,158,170314.91275291878,,,126981.57941958544,,,,monthly,4.0,1.0,4.0,71340.0574190226,98974.85533389616,33333.333333333336,10000.0,984.0,16.0,129953.69452068115,98974.85533389616,3465431.8538848306,167471.08601216206
pessimistic,158,182168.1327699388,,,80965.2012357026,,,,monthly,5.0,1.0,5.0,68504.02364519193,113664.10912474687,33333.333333333336,67869.59820090285,982.0,18.0,135966.08823152856,113664.10912474684,3625762.352840761,188312.7502940439
pessimistic,158,193834.42506416296,,,121234.5793026395,,,,monthly,6.0,1.0,6.0,66369.3773921093,127465.04767205367,33333.333333333336,39266.51242819012,973.0,27.0,136331.39280276676,127465.04767205365,3635503.80807378,196191.75319941255
